Date,Adj Close,Open,High,Low,Change %
5-Nov-15,121.75,121.56,122.01,121.35,0.16%
6-Nov-15,123.16,121.74,123.29,121.6,1.16%
9-Nov-15,123.19,123.14,123.61,122.95,0.02%
10-Nov-15,123.14,123.17,123.45,123,-0.04%
11-Nov-15,122.84,123.16,123.25,122.73,-0.24%
12-Nov-15,122.61,122.85,123.09,122.53,-0.19%
13-Nov-15,122.64,122.59,123,122.43,0.02%
16-Nov-15,123.17,122.32,123.3,122.2,0.43%
17-Nov-15,123.45,123.17,123.5,123.14,0.23%
18-Nov-15,123.64,123.43,123.69,123.19,0.15%
19-Nov-15,122.86,123.62,123.64,122.6,-0.63%
20-Nov-15,122.91,122.85,123.07,122.7,0.04%
23-Nov-15,122.84,122.77,123.28,122.73,-0.06%
24-Nov-15,122.53,122.83,122.97,122.29,-0.25%
25-Nov-15,122.72,122.51,122.95,122.23,0.16%
26-Nov-15,122.62,122.68,122.75,122.47,-0.08%
27-Nov-15,122.84,122.6,122.89,122.28,0.18%
30-Nov-15,123.1,122.79,123.36,122.66,0.21%
1-Dec-15,122.87,123.08,123.29,122.62,-0.19%
2-Dec-15,123.25,122.87,123.67,122.8,0.31%
3-Dec-15,122.61,123.24,123.58,122.27,-0.52%
4-Dec-15,123.17,122.57,123.38,122.44,0.46%
7-Dec-15,123.38,123.2,123.47,123.12,0.17%
8-Dec-15,122.92,123.36,123.42,122.69,-0.37%
9-Dec-15,121.44,122.92,123.06,121.05,-1.20%
10-Dec-15,121.6,121.45,121.89,121.23,0.13%
11-Dec-15,120.86,121.58,122.22,120.57,-0.61%
14-Dec-15,121.03,120.96,121.36,120.32,0.14%
15-Dec-15,121.68,121.02,121.82,120.55,0.54%
16-Dec-15,122.22,121.65,122.42,121.41,0.44%
17-Dec-15,122.56,122.19,122.88,122.17,0.28%
18-Dec-15,121.22,122.55,123.6,121.04,-1.09%
21-Dec-15,121.19,121.21,121.55,120.83,-0.02%
22-Dec-15,121.08,121.16,121.33,120.7,-0.09%
23-Dec-15,120.93,121.06,121.14,120.78,-0.12%
24-Dec-15,120.44,120.9,121,120.22,-0.41%
25-Dec-15,120.42,120.46,120.48,120.02,-0.02%
28-Dec-15,120.41,120.22,120.66,120.15,-0.01%
29-Dec-15,120.47,120.38,120.5,120.2,0.05%
30-Dec-15,120.52,120.46,120.67,120.32,0.04%
31-Dec-15,120.32,120.49,120.6,119.98,-0.17%
1-Jan-16,120.33,120.27,120.33,120.27,0.01%
4-Jan-16,119.44,120.27,120.47,118.68,-0.74%
5-Jan-16,119.06,119.41,119.71,118.77,-0.32%
6-Jan-16,118.47,119.05,119.17,118.22,-0.50%
7-Jan-16,117.68,118.46,118.77,117.3,-0.67%
8-Jan-16,117.45,117.66,118.77,117.42,-0.20%
11-Jan-16,117.77,117.43,118.03,116.68,0.27%
12-Jan-16,117.64,117.73,118.08,117.2,-0.11%
13-Jan-16,117.69,117.64,118.39,117.61,0.04%
14-Jan-16,118.05,117.66,118.28,117.27,0.31%
15-Jan-16,117.06,118.02,118.28,116.49,-0.84%
18-Jan-16,117.34,116.88,117.47,116.55,0.24%
19-Jan-16,117.64,117.31,118.13,117.23,0.26%
20-Jan-16,116.94,117.61,117.69,115.96,-0.60%
21-Jan-16,117.7,116.92,117.83,116.45,0.65%
22-Jan-16,118.78,117.7,118.89,117.52,0.92%
25-Jan-16,118.3,118.5,118.86,118.16,-0.40%
26-Jan-16,118.42,118.29,118.62,117.63,0.10%
27-Jan-16,118.67,118.41,119.08,118.01,0.21%
28-Jan-16,118.83,118.67,119,118.39,0.13%
29-Jan-16,121.06,118.8,121.7,118.48,1.88%
1-Feb-16,120.98,121.1,121.48,120.66,-0.07%
2-Feb-16,119.97,120.98,121.06,119.82,-0.83%
3-Feb-16,117.92,119.94,120.06,117.03,-1.71%
4-Feb-16,116.77,117.88,118.25,116.5,-0.98%
5-Feb-16,116.9,116.77,117.42,116.42,0.11%
8-Feb-16,115.84,116.88,117.53,115.17,-0.91%
9-Feb-16,115.11,115.84,115.86,114.22,-0.63%
10-Feb-16,113.34,115.12,115.28,113.12,-1.54%
11-Feb-16,112.42,113.31,113.59,110.98,-0.81%
12-Feb-16,113.22,112.4,113.55,111.72,0.71%
15-Feb-16,114.58,113.2,114.72,113.04,1.20%
16-Feb-16,114.08,114.57,114.89,113.57,-0.44%
17-Feb-16,114.11,114.06,114.52,113.35,0.03%
18-Feb-16,113.25,114.09,114.33,113.11,-0.75%
19-Feb-16,112.57,113.23,113.4,112.28,-0.60%
22-Feb-16,112.92,112.61,113.39,112.34,0.31%
23-Feb-16,112.11,112.88,113.06,111.75,-0.72%
24-Feb-16,112.19,112.09,112.28,111.04,0.07%
25-Feb-16,113,112.17,113.03,111.87,0.72%
26-Feb-16,114,112.98,114,112.54,0.88%
29-Feb-16,112.69,113.84,114.01,112.62,-1.15%
1-Mar-16,114.01,112.67,114.21,112.14,1.17%
2-Mar-16,113.48,114,114.58,113.19,-0.46%
3-Mar-16,113.69,113.48,114.28,113.28,0.19%
4-Mar-16,113.76,113.68,114.26,113.15,0.06%
7-Mar-16,113.47,113.78,114.09,113.2,-0.25%
8-Mar-16,112.61,113.45,113.52,112.41,-0.76%
9-Mar-16,113.34,112.62,113.48,112.2,0.65%
10-Mar-16,113.19,113.34,114.45,112.61,-0.13%
